p.id	i.id	t.id	i.description	i.itemEtt	i.language	i.maxPolicyPhase	i.p.data_source	i.p.reference_text_0	i.parameter.description	i.parameter.source	i.parameter.source_rtl	i.parameter.srclang	i.parameter.target_rtl	i.parameter.trans0	i.parameter.trans0_display	i.parameter.trans1	i.parameter.trans1_display	i.parameter.trglang	i.status	i.tag	t.actualTaskTimeSeconds	t.estimatedTaskTimeMinutes	t.firstAcquireTimestamp	t.firstSubmitTimestamp	t.lastAcquireTimestamp	t.lastSubmitTimestamp	t.raterId	t.raterLogin	t.s.sys0	t.s.sys1	t.status	t.timestamp
167599221	56187992299	8650689872	20世纪六七十年代，受人为大量捕杀、裸鲤繁殖水域环境日益退化等因素影响，青海湖裸鲤数量锐减，2002年青海湖裸鲤资源蕴藏量仅为2592吨。	0.5	Chinese_Simplified (CN)	0	unknown_source	In the 1960s and 1970s, the number of gymnocypris przewalskii has decreased sharply due to the human hunting in vast quantities and the increasingly degraded environment of breeding waters of gymnocypris przewalskii, the reserves of gymnocypris przewalskii resources in Qinghai Lake in 2002 were only 2,592 tons.	20世纪六七十年代，受人为大量捕杀、裸鲤繁殖水域环境日益退化等因素影响，青海湖裸鲤数量锐减，2002年青海湖裸鲤资源蕴藏量仅为2592吨。	20世纪六七十年代，受人为大量捕杀、裸鲤繁殖水域环境日益退化等因素影响，青海湖裸鲤数量锐减，2002年青海湖裸鲤资源蕴藏量仅为2592吨。	false	Chinese	false	In the 1960s and 1970s, the number of naked carp in Qinghai Lake decreased sharply due to factors such as large-scale human hunting and the increasingly degraded environment of the naked carp breeding waters. In 2002, the resource reserve of naked carp in Qinghai Lake was only 2592 tons.	In the 1960s and 1970s, the number of naked carp in Qinghai Lake decreased sharply due to factors such as large-scale human hunting and the increasingly degraded environment of the naked carp breeding waters. In 2002, the resource reserve of naked carp in Qinghai Lake was only 2592 tons.	In the 1960s and 1970s, due to factors such as large-scale human hunting and the increasingly degraded environment of the naked carp breeding waters, the number of naked carp in Qinghai Lake decreased sharply. In 2002, the resource reserve of naked carp in Qinghai Lake was only 2,592 tons.	In the 1960s and 1970s, due to factors such as large-scale human hunting and the increasingly degraded environment of the naked carp breeding waters, the number of naked carp in Qinghai Lake decreased sharply. In 2002, the resource reserve of naked carp in Qinghai Lake was only 2,592 tons.	English	Completed		35	0.5	1699607612061	1699607647013	1699607612061	1699607647013	53300797	q...5@gmail.com	6	6	Completed	1699607647013
167599221	56187992300	9434060507	西洋刀剑:鉴赏与收藏【正版书籍 闪电发货】	0.5	Chinese_Simplified (CN)	0	unknown_source	Western Knife and Sword: Appreciation and Collection [Authentic Book, Fast Shipping]	西洋刀剑:鉴赏与收藏【正版书籍 闪电发货】	西洋刀剑:鉴赏与收藏【正版书籍 闪电发货】	false	Chinese	false	Western Swords: Appreciation and Collection [Original Books Lightning Delivery]	Western Swords: Appreciation and Collection [Original Books Lightning Delivery]	Western Swords: Appreciation and Collection [Original Books]	Western Swords: Appreciation and Collection [Original Books]	English	Completed		78	0.5	1699589629291	1699589706957	1699589629291	1699589706957	56225225	b...r@gmail.com	2	2	Completed	1699589706957
167599221	56187992301	10650155664	从设置条件来看：按照《保险经纪机构监管规定(2015年修订)》提示来看，成为保险经纪公司的，必须满足三个关键词：股东、发起人最近3年无重大违法记录、最低限额为人民币5000万元才可以成立、必须经过中国保监会同意。	0.5	Chinese_Simplified (CN)	0	unknown_source	"In terms of setup conditions: according to the ""Regulations on the Supervision of Insurance Brokerage Institutions (revised in 2015)"", the following three key requirements must be met to become an insurance brokerage company, shareholders and initiator have no major illegal records in the past three years, the minimum limit is 50 million yuan, and it must be approved by the CIRC."	从设置条件来看：按照《保险经纪机构监管规定(2015年修订)》提示来看，成为保险经纪公司的，必须满足三个关键词：股东、发起人最近3年无重大违法记录、最低限额为人民币5000万元才可以成立、必须经过中国保监会同意。	从设置条件来看：按照《保险经纪机构监管规定(2015年修订)》提示来看，成为保险经纪公司的，必须满足三个关键词：股东、发起人最近3年无重大违法记录、最低限额为人民币5000万元才可以成立、必须经过中国保监会同意。	false	Chinese	false	"From the perspective of setting conditions: According to the hints of the ""Insurance Brokerage Institution Supervision Regulations (2015 Amendment)"", to become an insurance brokerage company, it must meet three key words: shareholders and promoters have no major violations in the past three years, the minimum amount is 50 million yuan, and it must be approved by the China Insurance Regulatory Commission."	"From the perspective of setting conditions: According to the hints of the ""Insurance Brokerage Institution Supervision Regulations (2015 Amendment)"", to become an insurance brokerage company, it must meet three key words: shareholders and promoters have no major violations in the past three years, the minimum amount is 50 million yuan, and it must be approved by the China Insurance Regulatory Commission."	"From the perspective of the conditions set: According to the ""Insurance Brokerage Institution Supervision Regulations (2015 Amendment)"", to become an insurance brokerage company, it must meet three key conditions: shareholders and promoters have no major violations in the past three years, the minimum amount is RMB 50 million, and it must be approved by the China Insurance Regulatory Commission."	"From the perspective of the conditions set: According to the ""Insurance Brokerage Institution Supervision Regulations (2015 Amendment)"", to become an insurance brokerage company, it must meet three key conditions: shareholders and promoters have no major violations in the past three years, the minimum amount is RMB 50 million, and it must be approved by the China Insurance Regulatory Commission."	English	Completed		37	0.5	1699519687666	1699519724835	1699519687666	1699519724835	53300797	q...5@gmail.com	6	2	Completed	1699519724835
167599221	56187992302	8650861044	简简单单白T恤搭配短裙，胖MM也可以尝试。	0.5	Chinese_Simplified (CN)	0	unknown_source	Fat girls can also try simple white T-shirt with short skirt.	简简单单白T恤搭配短裙，胖MM也可以尝试。	简简单单白T恤搭配短裙，胖MM也可以尝试。	false	Chinese	false	A simple white T-shirt with a skirt, even fat MM can try.	A simple white T-shirt with a skirt, even fat MM can try.	A simple white T-shirt with a skirt, even fat girls can try.	A simple white T-shirt with a skirt, even fat girls can try.	English	Completed		31	0.5	1699586018944	1699586049544	1699586018944	1699586049544	56225225	b...r@gmail.com	2	4	Completed	1699586049544
167599221	56187992303	8650815285	（南海研究论坛） 美国海军在声明中称，俄亥俄级核潜艇“内华达号”此次对关岛的访问加强了美国和该地区盟友之间的合作，展示了美国的能力、灵活性、战备状态，以及对印太地区安全与稳定的持续承诺。	0.5	Chinese_Simplified (CN)	0	unknown_source	(South China Sea Research Forum) the U.S. Navy said in a statement that the visit of the Ohio class nuclear submarine “Nevada” to Guam strengthened the cooperation between the US and its allies in the region, demonstrated the ability, flexibility, combat readiness of the US, as well as its continued commitment to security and stability in the Indo-Pacific region.	（南海研究论坛） 美国海军在声明中称，俄亥俄级核潜艇“内华达号”此次对关岛的访问加强了美国和该地区盟友之间的合作，展示了美国的能力、灵活性、战备状态，以及对印太地区安全与稳定的持续承诺。	（南海研究论坛） 美国海军在声明中称，俄亥俄级核潜艇“内华达号”此次对关岛的访问加强了美国和该地区盟友之间的合作，展示了美国的能力、灵活性、战备状态，以及对印太地区安全与稳定的持续承诺。	false	Chinese	false	(South China Sea Think Tank) The visit of the Ohio-class nuclear submarine USS Nevada to Guam strengthened cooperation between the United States and its allies in the region, demonstrated the United States' capabilities, flexibility, readiness, and continued commitment to security and stability in the Indo-Pacific region, the U.S. Navy said in a statement.	(South China Sea Think Tank) The visit of the Ohio-class nuclear submarine USS Nevada to Guam strengthened cooperation between the United States and its allies in the region, demonstrated the United States' capabilities, flexibility, readiness, and continued commitment to security and stability in the Indo-Pacific region, the U.S. Navy said in a statement.	(South China Sea Research Forum) The visit of the Ohio-class nuclear submarine USS Nevada to Guam strengthened cooperation between the United States and its allies in the region, demonstrated the United States' capabilities, flexibility, readiness, and continued commitment to security and stability in the Indo-Pacific region, the U.S. Navy said in a statement.	(South China Sea Research Forum) The visit of the Ohio-class nuclear submarine USS Nevada to Guam strengthened cooperation between the United States and its allies in the region, demonstrated the United States' capabilities, flexibility, readiness, and continued commitment to security and stability in the Indo-Pacific region, the U.S. Navy said in a statement.	English	Completed		72	0.5	1699606647311	1699606719056	1699606647311	1699606719056	53300797	q...5@gmail.com	4	6	Completed	1699606719056
167599221	56187992304	8650205724	[薄荷]环境： 中规中矩 [服务铃]服务： 上菜很快 「古法马拉糕」我的必点菜 马拉糕太香太软太好吃了😋喜欢甜品的小伙伴一定要试试「东江墨鱼滑酿豆腐煲」汤非常鲜美 豆腐很嫩 墨...	0.5	Chinese_Simplified (CN)	0	unknown_source	Emoji mint, environment is average, emoji service Bell, as for service, the dishes were served fast, “traditional Cantonese sponge cake” is one I must order, the cake is so soft, sweet and delicious😋; you must try it if you like dessert, and “Dongjiang tofu casserole with cuttlefish balls” has nice soup, tender tofu and...	[薄荷]环境： 中规中矩 [服务铃]服务： 上菜很快 「古法马拉糕」我的必点菜 马拉糕太香太软太好吃了😋喜欢甜品的小伙伴一定要试试「东江墨鱼滑酿豆腐煲」汤非常鲜美 豆腐很嫩 墨...	[薄荷]环境： 中规中矩 [服务铃]服务： 上菜很快 「古法马拉糕」我的必点菜 马拉糕太香太软太好吃了😋喜欢甜品的小伙伴一定要试试「东江墨鱼滑酿豆腐煲」汤非常鲜美 豆腐很嫩 墨...	false	Chinese	false	"[Mint] Environment: average [Service bell] Service: fast service ""Ancient Mala Cake"" is my must-order dish. The Mala Cake is too fragrant, soft and delicious. 😋 Friends who like desserts must try ""Dongjiang Cuttlefish Tofu Pot"". The soup is very delicious, the tofu is very tender, and the cuttlefish is very fresh."	"[Mint] Environment: average [Service bell] Service: fast service ""Ancient Mala Cake"" is my must-order dish. The Mala Cake is too fragrant, soft and delicious. 😋 Friends who like desserts must try ""Dongjiang Cuttlefish Tofu Pot"". The soup is very delicious, the tofu is very tender, and the cuttlefish is very fresh."	"[Mint] Environment: average [Service bell] Service: fast service ""Ancient Mala Cake"" is my must-order dish. The mala cake is too fragrant, soft and delicious. 😋 Friends who like desserts must try ""Dongjiang cuttlefish tofu pot"". The soup is very delicious, the tofu is very tender, and the cuttlefish is very fresh."	"[Mint] Environment: average [Service bell] Service: fast service ""Ancient Mala Cake"" is my must-order dish. The mala cake is too fragrant, soft and delicious. 😋 Friends who like desserts must try ""Dongjiang cuttlefish tofu pot"". The soup is very delicious, the tofu is very tender, and the cuttlefish is very fresh."	English	Completed		45	0.5	1699520057673	1699520102680	1699520057673	1699520102680	57056787	f...r@gmail.com	4	3	Completed	1699520102680
167599221	56187992305	10650351985	2、瑞士欧米茄(OMEGA)手表 碟飞系列钢带自动机械男表情侣一对表石英女表424.10.0.20.02.002/27.60.55.001	0.5	Chinese_Simplified (CN)	0	unknown_source	1. OMEGA Switzerland De Ville couples watches, automatic mechanical male’s watch and quartz female’s watch 424.10.0.20.02.002/27.60.55.001	2、瑞士欧米茄(OMEGA)手表 碟飞系列钢带自动机械男表情侣一对表石英女表424.10.0.20.02.002/27.60.55.001	2、瑞士欧米茄(OMEGA)手表 碟飞系列钢带自动机械男表情侣一对表石英女表424.10.0.20.02.002/27.60.55.001	false	Chinese	false	2. Swiss Omega (OMEGA) watch De Ville series steel strap automatic mechanical men's watch couple one pair of quartz women's watch 424.10.0.20.02.002/27.60.55.001	2. Swiss Omega (OMEGA) watch De Ville series steel strap automatic mechanical men's watch couple one pair of quartz women's watch 424.10.0.20.02.002/27.60.55.001	2. Swiss Omega (OMEGA) watch De Ville series steel strap automatic mechanical men's watch and quartz women's watch 424.10.0.20.02.002/27.60.55.001	2. Swiss Omega (OMEGA) watch De Ville series steel strap automatic mechanical men's watch and quartz women's watch 424.10.0.20.02.002/27.60.55.001	English	Completed		67	0.5	1699544111712	1699544178539	1699544111712	1699544178539	56225225	b...r@gmail.com	2	1	Completed	1699544178539
167599221	56187992306	8650324172	《Axie Infinity》的火热将一种新的“palytoearn”模式传递给更多人，通过区块链与智能合约的帮助，玩家不再是单一的角色，除了能从游戏里获得乐趣及经济收益以外，还可以参与到游戏生态的治理之中。	0.5	Chinese_Simplified (CN)	0	unknown_source	The hotness of Axie Infinity has sent the new “palytoearn” pattern to more people; with the help of blockchain and intelligent contract, players are no longer a single character, and in addition to gaining pleasure and economic revenue from the game, they can also participate in the governance of game ecosystem.	《Axie Infinity》的火热将一种新的“palytoearn”模式传递给更多人，通过区块链与智能合约的帮助，玩家不再是单一的角色，除了能从游戏里获得乐趣及经济收益以外，还可以参与到游戏生态的治理之中。	《Axie Infinity》的火热将一种新的“palytoearn”模式传递给更多人，通过区块链与智能合约的帮助，玩家不再是单一的角色，除了能从游戏里获得乐趣及经济收益以外，还可以参与到游戏生态的治理之中。	false	Chinese	false	The popularity of Axie Infinity has brought a new play-to-earn model to more people. With the help of blockchain and smart contracts, players are no longer a single role. In addition to getting fun and economic benefits from the game, they can also participate in the governance of the game ecology.	The popularity of Axie Infinity has brought a new play-to-earn model to more people. With the help of blockchain and smart contracts, players are no longer a single role. In addition to getting fun and economic benefits from the game, they can also participate in the governance of the game ecology.	The popularity of Axie Infinity has brought a new play-to-earn model to more people. With the help of blockchain and smart contracts, players are no longer just players. In addition to having fun and earning money from the game, they can also participate in the governance of the game ecology.	The popularity of Axie Infinity has brought a new play-to-earn model to more people. With the help of blockchain and smart contracts, players are no longer just players. In addition to having fun and earning money from the game, they can also participate in the governance of the game ecology.	English	Completed		36	0.5	1699588397581	1699588433620	1699588397581	1699588433620	56225225	b...r@gmail.com	4	3	Completed	1699588433620
167599221	56187992307	9434068997	该款容量5000ml，包装坛装，产品重量（kg）8，香型浓香型，存储方法通风，省份内蒙古，等级一级，酒精度52， 目前已有50+人评价 ，获得了95%的好评率 。	0.5	Chinese_Simplified (CN)	0	unknown_source	This one has 5000ml; package is a jar; weight: 8kg; flavor type: rich; storage method: ventilated place; province: Inner Mongolia; alcohol: 52 degrees; at present, 50+ people have reviewed it with 95% positive comments.	该款容量5000ml，包装坛装，产品重量（kg）8，香型浓香型，存储方法通风，省份内蒙古，等级一级，酒精度52， 目前已有50+人评价 ，获得了95%的好评率 。	该款容量5000ml，包装坛装，产品重量（kg）8，香型浓香型，存储方法通风，省份内蒙古，等级一级，酒精度52， 目前已有50+人评价 ，获得了95%的好评率 。	false	Chinese	false	This product has a capacity of 5000ml, is packaged in a jar, weighs 8kg, has a strong fragrance, is stored in a ventilated area, is from Inner Mongolia, is a first-grade product, has an alcohol content of 52%, and has been rated 95% by over 50 people.	This product has a capacity of 5000ml, is packaged in a jar, weighs 8kg, has a strong fragrance, is stored in a ventilated area, is from Inner Mongolia, is a first-grade product, has an alcohol content of 52%, and has been rated 95% by over 50 people.	This product has a capacity of 5000ml, is packaged in a jar, weighs 8kg, has a strong fragrance, is stored in a ventilated place, is from Inner Mongolia, is a first-grade product, has an alcohol content of 52%, and has been rated 95% by more than 50 people.	This product has a capacity of 5000ml, is packaged in a jar, weighs 8kg, has a strong fragrance, is stored in a ventilated place, is from Inner Mongolia, is a first-grade product, has an alcohol content of 52%, and has been rated 95% by more than 50 people.	English	Completed		30	0.5	1699606405107	1699606434839	1699606405107	1699606434839	53300797	q...5@gmail.com	6	6	Completed	1699606434839
167599221	56187992308	8649972806	高铁居然之家	0.5	Chinese_Simplified (CN)	0	unknown_source	HSR Easyhome	高铁居然之家	高铁居然之家	false	Chinese	false	Jueranzhijia High-speed Rail	Jueranzhijia High-speed Rail	High-speed rail Jueranzhijia -> High-speed rail Jueranzhijia	High-speed rail Jueranzhijia -> High-speed rail Jueranzhijia	English	Completed		29	0.5	1699606896798	1699606926225	1699606896798	1699606926225	53300797	q...5@gmail.com	4	4	Completed	1699606926225
